[PLATFORM] virtual=false | queueWait=725ms | totalTime=926ms | thread=pool-2-thread-3
[PLATFORM] virtual=false | queueWait=724ms | totalTime=924ms | thread=pool-2-thread-6
[PLATFORM] virtual=false | queueWait=745ms | totalTime=945ms | thread=pool-2-thread-1
[PLATFORM] virtual=false | queueWait=734ms | totalTime=934ms | thread=pool-2-thread-4
[PLATFORM] virtual=false | queueWait=739ms | totalTime=939ms | thread=pool-2-thread-9
[PLATFORM] virtual=false | queueWait=747ms | totalTime=948ms | thread=pool-2-thread-5
[PLATFORM] virtual=false | queueWait=717ms | totalTime=918ms | thread=pool-2-thread-7
[PLATFORM] virtual=false | queueWait=728ms | totalTime=929ms | thread=pool-2-thread-8
[PLATFORM] virtual=false | queueWait=737ms | totalTime=938ms | thread=pool-2-thread-10
[PLATFORM] virtual=false | queueWait=821ms | totalTime=1021ms | thread=pool-2-thread-2
[PLATFORM] virtual=false | queueWait=825ms | totalTime=1025ms | thread=pool-2-thread-3
[PLATFORM] virtual=false | queueWait=834ms | totalTime=1035ms | thread=pool-2-thread-1
[PLATFORM] virtual=false | queueWait=844ms | totalTime=1045ms | thread=pool-2-thread-6
[PLATFORM] virtual=false | queueWait=824ms | totalTime=1025ms | thread=pool-2-thread-4
[PLATFORM] virtual=false | queueWait=847ms | totalTime=1048ms | thread=pool-2-thread-9
[PLATFORM] virtual=false | queueWait=817ms | totalTime=1018ms | thread=pool-2-thread-8
[PLATFORM] virtual=false | queueWait=829ms | totalTime=1030ms | thread=pool-2-thread-7
[PLATFORM] virtual=false | queueWait=839ms | totalTime=1040ms | thread=pool-2-thread-5
[PLATFORM] virtual=false | queueWait=837ms | totalTime=1038ms | thread=pool-2-thread-10
[PLATFORM] virtual=false | queueWait=922ms | totalTime=1124ms | thread=pool-2-thread-2
[PLATFORM] virtual=false | queueWait=925ms | totalTime=1126ms | thread=pool-2-thread-3
[PLATFORM] virtual=false | queueWait=933ms | totalTime=1134ms | thread=pool-2-thread-6
[PLATFORM] virtual=false | queueWait=928ms | totalTime=1130ms | thread=pool-2-thread-4
[PLATFORM] virtual=false | queueWait=944ms | totalTime=1146ms | thread=pool-2-thread-1
[PLATFORM] virtual=false | queueWait=939ms | totalTime=1139ms | thread=pool-2-thread-8
[PLATFORM] virtual=false | queueWait=947ms | totalTime=1148ms | thread=pool-2-thread-9
[PLATFORM] virtual=false | queueWait=929ms | totalTime=1131ms | thread=pool-2-thread-5
[PLATFORM] virtual=false | queueWait=919ms | totalTime=1122ms | thread=pool-2-thread-7
[PLATFORM] virtual=false | queueWait=938ms | totalTime=1138ms | thread=pool-2-thread-10
